old_pay_item,old_desc,new_pay_item,new_desc,course,nmas_mm,esal_cat,binder_class,status
401-07321,"QC/QA-HMA, 2, 64, SURFACE, 9.5 mm",401-000001,"QC/QA-HMA, 2, 58S, SURFACE, 9.5 mm",Surface,9.5,2,58S,ACTIVE
401-07322,"QC/QA-HMA, 3, 64, SURFACE, 9.5 mm",401-000002,"QC/QA-HMA, 3, 58S, SURFACE, 9.5 mm",Surface,9.5,3,58S,ACTIVE
401-07323,"QC/QA-HMA, 4, 64, SURFACE, 9.5 mm",401-000003,"QC/QA-HMA, 4, 58S, SURFACE, 9.5 mm",Surface,9.5,4,58S,ACTIVE
401-07327,"QC/QA-HMA, 2, 70, SURFACE, 9.5 mm",401-000004,"QC/QA-HMA, 2, 58H, SURFACE, 9.5 mm",Surface,9.5,2,58H,ACTIVE
401-07328,"QC/QA-HMA, 3, 70, SURFACE, 9.5 mm",401-000005,"QC/QA-HMA, 3, 58H, SURFACE, 9.5 mm",Surface,9.5,3,58H,ACTIVE
401-07329,"QC/QA-HMA, 4, 70, SURFACE, 9.5 mm",401-000006,"QC/QA-HMA, 4, 58H, SURFACE, 9.5 mm",Surface,9.5,4,58H,ACTIVE
401-07333,"QC/QA-HMA, 2, 76, SURFACE, 9.5 mm",401-000007,"QC/QA-HMA, 2, 58E, SURFACE, 9.5 mm",Surface,9.5,2,58E,ACTIVE
401-07334,"QC/QA-HMA, 3, 76, SURFACE, 9.5 mm",401-000008,"QC/QA-HMA, 3, 58E, SURFACE, 9.5 mm",Surface,9.5,3,58E,ACTIVE
401-07335,"QC/QA-HMA, 4, 76, SURFACE, 9.5 mm",401-000009,"QC/QA-HMA, 4, 58E, SURFACE, 9.5 mm",Surface,9.5,4,58E,ACTIVE
401-07339,"QC/QA-HMA, 2, 64, SURFACE, 12.5 mm",401-000010,"QC/QA-HMA, 2, 58S, SURFACE, 12.5 mm",Surface,12.5,2,58S,ACTIVE
401-07340,"QC/QA-HMA, 3, 64, SURFACE, 12.5 mm",401-000011,"QC/QA-HMA, 3, 58S, SURFACE, 12.5 mm",Surface,12.5,3,58S,ACTIVE
401-07342,"QC/QA-HMA, 4, 64, SURFACE, 12.5 mm",401-000012,"QC/QA-HMA, 4, 58S, SURFACE, 12.5 mm",Surface,12.5,4,58S,ACTIVE
401-07345,"QC/QA-HMA, 2, 70, SURFACE, 12.5 mm",401-000013,"QC/QA-HMA, 2, 58H, SURFACE, 12.5 mm",Surface,12.5,2,58H,ACTIVE
401-07347,"QC/QA-HMA, 3, 70, SURFACE, 12.5 mm",401-000014,"QC/QA-HMA, 3, 58H, SURFACE, 12.5 mm",Surface,12.5,3,58H,ACTIVE
401-07348,"QC/QA-HMA, 4, 70, SURFACE, 12.5 mm",401-000015,"QC/QA-HMA, 4, 58H, SURFACE, 12.5 mm",Surface,12.5,4,58H,ACTIVE
